Station,Date and time,pH,DO ,EC ,Temp
สถานีบ้านสร้าง,1/1/2022 0:00,,3.9,157.6,24.8
สถานีบ้านสร้าง,1/1/2022 0:30,,3.9,165.0,24.8
สถานีบ้านสร้าง,1/1/2022 1:00,,4.6,157.8,24.7
สถานีบ้านสร้าง,1/1/2022 1:30,,3.9,160.2,24.7
สถานีบ้านสร้าง,1/1/2022 2:00,,3.9,158.3,24.7
สถานีบ้านสร้าง,1/1/2022 2:30,,3.8,165.6,24.6
สถานีบ้านสร้าง,1/1/2022 3:00,,3.8,162.5,24.6
สถานีบ้านสร้าง,1/1/2022 3:30,,4.6,166.6,24.5
สถานีบ้านสร้าง,1/1/2022 4:00,,3.8,160.8,24.5
สถานีบ้านสร้าง,1/1/2022 4:30,,3.7,160.1,24.5
สถานีบ้านสร้าง,1/1/2022 5:00,,3.7,160.8,24.5
สถานีบ้านสร้าง,1/1/2022 5:30,,3.7,166.0,24.5
สถานีบ้านสร้าง,1/1/2022 6:00,,4.4,161.7,24.4
สถานีบ้านสร้าง,1/1/2022 6:30,,3.8,167.5,24.5
สถานีบ้านสร้าง,1/1/2022 7:00,,3.7,160.6,24.4
สถานีบ้านสร้าง,1/1/2022 7:30,,3.7,157.3,24.4
สถานีบ้านสร้าง,1/1/2022 8:00,,3.7,158.3,24.4
สถานีบ้านสร้าง,1/1/2022 8:30,,4.4,166.1,24.4
สถานีบ้านสร้าง,1/1/2022 9:00,,3.8,156.3,24.5
สถานีบ้านสร้าง,1/1/2022 9:30,,3.9,158.8,24.5
สถานีบ้านสร้าง,1/1/2022 10:00,,3.9,159.7,24.6
สถานีบ้านสร้าง,1/1/2022 10:30,,3.9,157.0,24.7
สถานีบ้านสร้าง,1/1/2022 11:00,,4.3,163.6,24.7
สถานีบ้านสร้าง,1/1/2022 11:30,,3.9,158.2,24.7
สถานีบ้านสร้าง,1/1/2022 12:00,,3.9,163.1,24.7
สถานีบ้านสร้าง,1/1/2022 12:30,,3.9,160.5,24.8
สถานีบ้านสร้าง,1/1/2022 13:00,,4.1,159.6,24.9
สถานีบ้านสร้าง,1/1/2022 13:30,,5.2,167.9,25.0
สถานีบ้านสร้าง,1/1/2022 14:00,,4.3,163.3,25.1
สถานีบ้านสร้าง,1/1/2022 14:30,,4.2,163.7,25.0
สถานีบ้านสร้าง,1/1/2022 15:00,,4.2,160.7,25.1
สถานีบ้านสร้าง,1/1/2022 15:30,,4.2,164.3,25.1
สถานีบ้านสร้าง,1/1/2022 16:00,,4.4,159.5,25.2
สถานีบ้านสร้าง,1/1/2022 16:30,,5.0,158.9,25.1
สถานีบ้านสร้าง,1/1/2022 17:00,,4.4,161.4,25.1
สถานีบ้านสร้าง,1/1/2022 17:30,,4.2,164.7,25.0
สถานีบ้านสร้าง,1/1/2022 18:00,,4.2,160.8,25.0
สถานีบ้านสร้าง,1/1/2022 18:30,,4.1,161.8,24.9
สถานีบ้านสร้าง,1/1/2022 19:00,,4.8,167.5,24.8
สถานีบ้านสร้าง,1/1/2022 19:30,,4.0,161.1,24.8
สถานีบ้านสร้าง,1/1/2022 20:00,,3.9,163.9,24.8
สถานีบ้านสร้าง,1/1/2022 20:30,,3.9,162.8,24.8
สถานีบ้านสร้าง,1/1/2022 21:00,,3.9,163.9,24.8
สถานีบ้านสร้าง,1/1/2022 21:30,,4.5,165.0,24.7
สถานีบ้านสร้าง,1/1/2022 22:00,,3.9,165.3,24.8
สถานีบ้านสร้าง,1/1/2022 22:30,,3.9,168.8,24.7
สถานีบ้านสร้าง,1/1/2022 23:00,,3.9,156.1,24.7
สถานีบ้านสร้าง,1/1/2022 23:30,,3.9,166.0,24.6
สถานีบ้านสร้าง,2/1/2022 0:00,,4.5,164.1,24.6
สถานีบ้านสร้าง,2/1/2022 0:30,,3.8,161.2,24.6
สถานีบ้านสร้าง,2/1/2022 1:00,,3.8,164.2,24.6
สถานีบ้านสร้าง,2/1/2022 1:30,,3.8,168.4,24.5
สถานีบ้านสร้าง,2/1/2022 2:00,,3.8,162.5,24.5
สถานีบ้านสร้าง,2/1/2022 2:30,,4.4,162.7,24.5
สถานีบ้านสร้าง,2/1/2022 3:00,,3.9,160.9,24.5
สถานีบ้านสร้าง,2/1/2022 3:30,,3.9,165.7,24.5
สถานีบ้านสร้าง,2/1/2022 4:00,,3.8,169.1,24.4
สถานีบ้านสร้าง,2/1/2022 4:30,,3.7,172.2,24.4
สถานีบ้านสร้าง,2/1/2022 5:00,,4.2,164.7,24.4
สถานีบ้านสร้าง,2/1/2022 5:30,,3.7,169.3,24.4
สถานีบ้านสร้าง,2/1/2022 6:00,,3.7,178.6,24.4
สถานีบ้านสร้าง,2/1/2022 6:30,,3.8,165.9,24.4
สถานีบ้านสร้าง,2/1/2022 7:00,,3.8,165.9,24.4
สถานีบ้านสร้าง,2/1/2022 7:30,,5.1,170.7,24.3
สถานีบ้านสร้าง,2/1/2022 8:00,,3.9,171.5,24.4
สถานีบ้านสร้าง,2/1/2022 8:30,,3.9,168.9,24.4
สถานีบ้านสร้าง,2/1/2022 9:00,,3.9,168.5,24.4
สถานีบ้านสร้าง,2/1/2022 9:30,,3.9,171.2,24.5
สถานีบ้านสร้าง,2/1/2022 10:00,,3.9,166.5,24.5
สถานีบ้านสร้าง,2/1/2022 10:30,,4.7,166.5,24.5
สถานีบ้านสร้าง,2/1/2022 11:00,,4.0,166.6,24.6
สถานีบ้านสร้าง,2/1/2022 11:30,,3.9,168.2,24.6
สถานีบ้านสร้าง,2/1/2022 12:00,,3.9,169.3,24.6
สถานีบ้านสร้าง,2/1/2022 12:30,,4.0,168.2,24.6
สถานีบ้านสร้าง,2/1/2022 13:00,,4.7,165.7,24.6
สถานีบ้านสร้าง,2/1/2022 13:30,,4.1,167.1,24.7
สถานีบ้านสร้าง,2/1/2022 14:00,,4.0,161.5,24.7
สถานีบ้านสร้าง,2/1/2022 14:30,,4.0,167.8,24.7
สถานีบ้านสร้าง,2/1/2022 15:00,,4.1,158.6,24.8
สถานีบ้านสร้าง,2/1/2022 15:30,,4.8,166.9,24.7
สถานีบ้านสร้าง,2/1/2022 16:00,,4.2,160.3,24.8
สถานีบ้านสร้าง,2/1/2022 16:30,,4.2,166.2,24.8
สถานีบ้านสร้าง,2/1/2022 17:00,,4.1,166.2,24.8
สถานีบ้านสร้าง,2/1/2022 17:30,,4.0,167.0,24.7
สถานีบ้านสร้าง,2/1/2022 18:00,,4.7,164.6,24.6
สถานีบ้านสร้าง,2/1/2022 18:30,,4.1,169.1,24.7
สถานีบ้านสร้าง,2/1/2022 19:00,,4.0,167.6,24.6
สถานีบ้านสร้าง,2/1/2022 19:30,,3.9,165.2,24.6
สถานีบ้านสร้าง,2/1/2022 20:00,,3.9,166.2,24.6
สถานีบ้านสร้าง,2/1/2022 20:30,,4.5,158.1,24.6
สถานีบ้านสร้าง,2/1/2022 21:00,,3.9,165.7,24.6
สถานีบ้านสร้าง,2/1/2022 21:30,,3.8,168.3,24.6
สถานีบ้านสร้าง,2/1/2022 22:00,,3.8,163.5,24.6
สถานีบ้านสร้าง,2/1/2022 22:30,,3.8,163.7,24.5
สถานีบ้านสร้าง,2/1/2022 23:00,,4.3,168.5,24.5
สถานีบ้านสร้าง,2/1/2022 23:30,,3.9,172.8,24.5
สถานีบ้านสร้าง,3/1/2022 0:00,,3.9,178.0,24.5
สถานีบ้านสร้าง,3/1/2022 0:30,,3.9,174.7,24.5
สถานีบ้านสร้าง,3/1/2022 1:00,,3.8,178.0,24.5
สถานีบ้านสร้าง,3/1/2022 1:30,,5.1,166.4,24.5
สถานีบ้านสร้าง,3/1/2022 2:00,,3.8,170.0,24.4
สถานีบ้านสร้าง,3/1/2022 2:30,,3.7,173.8,24.4
สถานีบ้านสร้าง,3/1/2022 3:00,,3.7,172.6,24.4
สถานีบ้านสร้าง,3/1/2022 3:30,,3.8,172.4,24.4
สถานีบ้านสร้าง,3/1/2022 4:00,,3.8,173.1,24.3
สถานีบ้านสร้าง,3/1/2022 4:30,,4.6,171.8,24.2
สถานีบ้านสร้าง,3/1/2022 5:00,,3.8,174.9,24.2
สถานีบ้านสร้าง,3/1/2022 5:30,,3.7,176.1,24.2
สถานีบ้านสร้าง,3/1/2022 6:00,,3.7,175.3,24.2
สถานีบ้านสร้าง,3/1/2022 6:30,,3.8,178.2,24.2
สถานีบ้านสร้าง,3/1/2022 7:00,,4.6,178.7,24.0
สถานีบ้านสร้าง,3/1/2022 7:30,,3.8,172.0,24.1
สถานีบ้านสร้าง,3/1/2022 8:00,,3.9,175.6,24.2
สถานีบ้านสร้าง,3/1/2022 8:30,,3.9,173.8,24.2
สถานีบ้านสร้าง,3/1/2022 9:00,,3.9,173.0,24.2
สถานีบ้านสร้าง,3/1/2022 9:30,,4.7,172.9,24.1
สถานีบ้านสร้าง,3/1/2022 10:00,,4.1,170.9,24.2
สถานีบ้านสร้าง,3/1/2022 10:30,,4.0,171.7,24.3
สถานีบ้านสร้าง,3/1/2022 11:00,,4.0,173.6,24.3
สถานีบ้านสร้าง,3/1/2022 11:30,,4.0,167.6,24.4
สถานีบ้านสร้าง,3/1/2022 12:00,,4.6,173.3,24.5
สถานีบ้านสร้าง,3/1/2022 12:30,,4.0,174.1,24.5
สถานีบ้านสร้าง,3/1/2022 13:00,,4.0,173.5,24.6
สถานีบ้านสร้าง,3/1/2022 13:30,,4.0,174.3,24.6
สถานีบ้านสร้าง,3/1/2022 14:00,,4.0,163.4,24.7
สถานีบ้านสร้าง,3/1/2022 14:30,,4.6,168.8,24.7
สถานีบ้านสร้าง,3/1/2022 15:00,,4.0,170.2,24.8
สถานีบ้านสร้าง,3/1/2022 15:30,,4.0,169.3,24.8
สถานีบ้านสร้าง,3/1/2022 16:00,,4.0,166.6,24.8
สถานีบ้านสร้าง,3/1/2022 16:30,,3.9,172.6,24.7
สถานีบ้านสร้าง,3/1/2022 17:00,,4.4,173.3,24.7
สถานีบ้านสร้าง,3/1/2022 17:30,,4.0,172.2,24.7
สถานีบ้านสร้าง,3/1/2022 18:00,,4.0,170.7,24.7
สถานีบ้านสร้าง,3/1/2022 18:30,,4.0,168.4,24.7
สถานีบ้านสร้าง,3/1/2022 19:00,,4.0,164.8,24.7
สถานีบ้านสร้าง,3/1/2022 19:30,,5.2,167.6,24.6
สถานีบ้านสร้าง,3/1/2022 20:00,,4.0,171.4,24.6
สถานีบ้านสร้าง,3/1/2022 20:30,,3.9,171.2,24.6
สถานีบ้านสร้าง,3/1/2022 21:00,,3.8,163.3,24.6
สถานีบ้านสร้าง,3/1/2022 21:30,,3.8,167.9,24.6
สถานีบ้านสร้าง,3/1/2022 22:00,,3.8,169.4,24.6
สถานีบ้านสร้าง,3/1/2022 22:30,,4.5,164.9,24.5
สถานีบ้านสร้าง,3/1/2022 23:00,,3.8,170.0,24.6
สถานีบ้านสร้าง,3/1/2022 23:30,,3.8,173.0,24.5
สถานีบ้านสร้าง,4/1/2022 0:00,,3.8,170.6,24.5
สถานีบ้านสร้าง,4/1/2022 0:30,,3.8,174.9,24.5
สถานีบ้านสร้าง,4/1/2022 1:00,,4.6,188.1,24.4
สถานีบ้านสร้าง,4/1/2022 1:30,,3.8,186.0,24.4
สถานีบ้านสร้าง,4/1/2022 2:00,,3.7,203.3,24.4
สถานีบ้านสร้าง,4/1/2022 2:30,,3.6,196.1,24.3
สถานีบ้านสร้าง,4/1/2022 3:00,,3.6,210.0,24.3
สถานีบ้านสร้าง,4/1/2022 3:30,,4.3,201.8,24.2
สถานีบ้านสร้าง,4/1/2022 4:00,,3.6,204.9,24.2
สถานีบ้านสร้าง,4/1/2022 4:30,,3.5,200.0,24.2
สถานีบ้านสร้าง,4/1/2022 5:00,,3.5,198.7,24.2
สถานีบ้านสร้าง,4/1/2022 5:30,,3.6,192.3,24.2
สถานีบ้านสร้าง,4/1/2022 6:00,,4.3,205.0,24.1
สถานีบ้านสร้าง,4/1/2022 6:30,,3.6,201.1,24.1
สถานีบ้านสร้าง,4/1/2022 7:00,,3.5,198.4,24.1
สถานีบ้านสร้าง,4/1/2022 7:30,,3.5,198.4,24.1
สถานีบ้านสร้าง,4/1/2022 8:00,,3.5,201.3,24.1
สถานีบ้านสร้าง,4/1/2022 8:30,,4.3,183.3,24.1
สถานีบ้านสร้าง,4/1/2022 9:00,,3.7,180.3,24.2
สถานีบ้านสร้าง,4/1/2022 9:30,,3.8,182.0,24.2
สถานีบ้านสร้าง,4/1/2022 10:00,,3.8,172.6,24.2
สถานีบ้านสร้าง,4/1/2022 10:30,,3.8,177.0,24.3
สถานีบ้านสร้าง,4/1/2022 11:00,,4.3,178.6,24.3
สถานีบ้านสร้าง,4/1/2022 11:30,,3.7,179.8,24.3
สถานีบ้านสร้าง,4/1/2022 12:00,,3.7,176.3,24.4
สถานีบ้านสร้าง,4/1/2022 12:30,,3.7,175.8,24.4
สถานีบ้านสร้าง,4/1/2022 13:00,,3.7,180.3,24.5
สถานีบ้านสร้าง,4/1/2022 13:30,,4.9,174.2,24.5
สถานีบ้านสร้าง,4/1/2022 14:00,,3.8,181.8,24.6
สถานีบ้านสร้าง,4/1/2022 14:30,,3.7,176.8,24.7
สถานีบ้านสร้าง,4/1/2022 15:00,,3.8,177.1,24.7
สถานีบ้านสร้าง,4/1/2022 15:30,,3.7,175.5,24.7
สถานีบ้านสร้าง,4/1/2022 16:00,,3.7,178.1,24.7
สถานีบ้านสร้าง,4/1/2022 16:30,,4.5,172.4,24.8
สถานีบ้านสร้าง,4/1/2022 17:00,,3.8,177.1,24.7
สถานีบ้านสร้าง,4/1/2022 17:30,,3.8,173.9,24.7
สถานีบ้านสร้าง,4/1/2022 18:00,,3.9,180.0,24.7
สถานีบ้านสร้าง,4/1/2022 18:30,,3.9,166.8,24.7
สถานีบ้านสร้าง,4/1/2022 19:00,,4.6,174.3,24.6
สถานีบ้านสร้าง,4/1/2022 19:30,,3.9,175.9,24.7
สถานีบ้านสร้าง,4/1/2022 20:00,,3.9,170.3,24.7
สถานีบ้านสร้าง,4/1/2022 20:30,,3.9,172.1,24.6
สถานีบ้านสร้าง,4/1/2022 21:00,,3.8,178.5,24.6
สถานีบ้านสร้าง,4/1/2022 21:30,,4.5,179.8,24.6
สถานีบ้านสร้าง,4/1/2022 22:00,,3.8,180.0,24.6
สถานีบ้านสร้าง,4/1/2022 22:30,,3.7,171.7,24.6
สถานีบ้านสร้าง,4/1/2022 23:00,,3.7,172.0,24.6
สถานีบ้านสร้าง,4/1/2022 23:30,,3.7,176.6,24.5
สถานีบ้านสร้าง,5/1/2022 0:00,,4.4,169.0,24.5
สถานีบ้านสร้าง,5/1/2022 0:30,,3.7,176.5,24.5
สถานีบ้านสร้าง,5/1/2022 1:00,,3.7,180.2,24.4
สถานีบ้านสร้าง,5/1/2022 1:30,,3.7,177.3,24.4
สถานีบ้านสร้าง,5/1/2022 2:00,,3.7,175.1,24.4
สถานีบ้านสร้าง,5/1/2022 2:30,,4.4,186.6,24.3
สถานีบ้านสร้าง,5/1/2022 3:00,,3.6,188.0,24.3
สถานีบ้านสร้าง,5/1/2022 3:30,,3.6,183.4,24.3
สถานีบ้านสร้าง,5/1/2022 4:00,,3.5,191.4,24.2
สถานีบ้านสร้าง,5/1/2022 4:30,,3.5,189.7,24.2
สถานีบ้านสร้าง,5/1/2022 5:00,,4.2,192.9,24.2
สถานีบ้านสร้าง,5/1/2022 5:30,,3.6,195.2,24.2
สถานีบ้านสร้าง,5/1/2022 6:00,,3.5,187.6,24.1
สถานีบ้านสร้าง,5/1/2022 6:30,,3.5,196.6,24.1
สถานีบ้านสร้าง,5/1/2022 7:00,,3.5,191.8,24.1
สถานีบ้านสร้าง,5/1/2022 7:30,,4.9,190.9,24.1
สถานีบ้านสร้าง,5/1/2022 8:00,,3.5,193.8,24.1
สถานีบ้านสร้าง,5/1/2022 8:30,,3.5,190.7,24.2
สถานีบ้านสร้าง,5/1/2022 9:00,,3.6,190.1,24.2
สถานีบ้านสร้าง,5/1/2022 9:30,,3.6,185.5,24.2
สถานีบ้านสร้าง,5/1/2022 10:00,,3.6,181.3,24.3
สถานีบ้านสร้าง,5/1/2022 10:30,,4.4,180.6,24.3
สถานีบ้านสร้าง,5/1/2022 11:00,,3.7,174.2,24.4
สถานีบ้านสร้าง,5/1/2022 11:30,,3.7,179.5,24.7
สถานีบ้านสร้าง,5/1/2022 12:00,,3.7,168.9,24.8
สถานีบ้านสร้าง,5/1/2022 12:30,,3.6,181.6,24.6
สถานีบ้านสร้าง,5/1/2022 13:00,,4.3,179.5,24.6
สถานีบ้านสร้าง,5/1/2022 13:30,,3.6,180.8,24.6
สถานีบ้านสร้าง,5/1/2022 14:00,,3.7,183.1,24.6
สถานีบ้านสร้าง,5/1/2022 14:30,,3.7,182.1,24.7
สถานีบ้านสร้าง,5/1/2022 15:00,,3.7,182.6,24.7
สถานีบ้านสร้าง,5/1/2022 15:30,,4.4,179.6,24.7
สถานีบ้านสร้าง,5/1/2022 16:00,,3.7,181.7,24.8
สถานีบ้านสร้าง,5/1/2022 16:30,,3.8,184.1,24.8
สถานีบ้านสร้าง,5/1/2022 17:00,,3.7,181.4,24.7
สถานีบ้านสร้าง,5/1/2022 17:30,,3.7,181.8,24.7
สถานีบ้านสร้าง,5/1/2022 18:00,,4.4,183.8,24.7
สถานีบ้านสร้าง,5/1/2022 18:30,,3.8,171.8,24.6
สถานีบ้านสร้าง,5/1/2022 19:00,,3.8,175.2,24.6
สถานีบ้านสร้าง,5/1/2022 19:30,,3.7,179.3,24.6
สถานีบ้านสร้าง,5/1/2022 20:00,,3.7,184.3,24.6
สถานีบ้านสร้าง,5/1/2022 20:30,,4.3,182.3,24.6
สถานีบ้านสร้าง,5/1/2022 21:00,,3.7,183.9,24.6
สถานีบ้านสร้าง,5/1/2022 21:30,,3.6,178.0,24.6
สถานีบ้านสร้าง,5/1/2022 22:00,,3.6,175.9,24.6
สถานีบ้านสร้าง,5/1/2022 22:30,,3.6,179.1,24.6
สถานีบ้านสร้าง,5/1/2022 23:00,,4.2,184.0,24.6
สถานีบ้านสร้าง,5/1/2022 23:30,,3.6,181.6,24.6
สถานีบ้านสร้าง,6/1/2022 0:00,,3.6,184.5,24.5
สถานีบ้านสร้าง,6/1/2022 0:30,,3.6,175.2,24.5
สถานีบ้านสร้าง,6/1/2022 1:00,,3.6,178.4,24.5
สถานีบ้านสร้าง,6/1/2022 1:30,,4.7,173.7,24.5
สถานีบ้านสร้าง,6/1/2022 2:00,,3.7,180.4,24.4
สถานีบ้านสร้าง,6/1/2022 2:30,,3.7,182.3,24.4
สถานีบ้านสร้าง,6/1/2022 3:00,,3.7,189.3,24.4
สถานีบ้านสร้าง,6/1/2022 3:30,,3.7,178.5,24.4
สถานีบ้านสร้าง,6/1/2022 4:00,,3.6,182.5,24.3
สถานีบ้านสร้าง,6/1/2022 4:30,,4.4,180.1,24.2
สถานีบ้านสร้าง,6/1/2022 5:00,,3.6,186.9,24.3
สถานีบ้านสร้าง,6/1/2022 5:30,,3.5,183.8,24.2
สถานีบ้านสร้าง,6/1/2022 6:00,,3.5,185.3,24.2
สถานีบ้านสร้าง,6/1/2022 6:30,,3.5,177.6,24.2
สถานีบ้านสร้าง,6/1/2022 7:00,,4.4,183.9,24.1
สถานีบ้านสร้าง,6/1/2022 7:30,,3.6,175.5,24.2
สถานีบ้านสร้าง,6/1/2022 8:00,,3.5,184.8,24.2
สถานีบ้านสร้าง,6/1/2022 8:30,,3.5,184.6,24.2
สถานีบ้านสร้าง,6/1/2022 9:00,,3.5,188.6,24.2
สถานีบ้านสร้าง,6/1/2022 9:30,,4.3,186.5,24.2
สถานีบ้านสร้าง,6/1/2022 10:00,,3.6,180.8,24.3
สถานีบ้านสร้าง,6/1/2022 10:30,,3.6,182.5,24.3
สถานีบ้านสร้าง,6/1/2022 11:00,,3.6,172.1,24.4
สถานีบ้านสร้าง,6/1/2022 11:30,,3.6,175.5,24.4
สถานีบ้านสร้าง,6/1/2022 12:00,,4.3,179.3,24.5
สถานีบ้านสร้าง,6/1/2022 12:30,,3.8,174.8,24.8
สถานีบ้านสร้าง,6/1/2022 13:00,,3.8,180.4,24.9
สถานีบ้านสร้าง,6/1/2022 13:30,,3.9,179.0,24.9
สถานีบ้านสร้าง,6/1/2022 14:00,,3.8,179.5,24.9
สถานีบ้านสร้าง,6/1/2022 14:30,,4.4,180.1,24.8
สถานีบ้านสร้าง,6/1/2022 15:00,,3.7,174.1,24.7
สถานีบ้านสร้าง,6/1/2022 15:30,,3.7,175.5,24.7
สถานีบ้านสร้าง,6/1/2022 16:00,,3.7,177.6,24.7
สถานีบ้านสร้าง,6/1/2022 16:30,,3.7,174.6,24.8
สถานีบ้านสร้าง,6/1/2022 17:00,,4.2,178.4,24.7
สถานีบ้านสร้าง,6/1/2022 17:30,,3.7,181.7,24.8
สถานีบ้านสร้าง,6/1/2022 18:00,,3.7,183.1,24.7
สถานีบ้านสร้าง,6/1/2022 18:30,,3.7,182.1,24.7
สถานีบ้านสร้าง,6/1/2022 19:00,,3.7,181.6,24.7
สถานีบ้านสร้าง,6/1/2022 19:30,,4.6,178.1,24.7
สถานีบ้านสร้าง,6/1/2022 20:00,,3.7,175.4,24.7
สถานีบ้านสร้าง,6/1/2022 20:30,,3.6,181.0,24.6
สถานีบ้านสร้าง,6/1/2022 21:00,,3.6,178.1,24.6
สถานีบ้านสร้าง,6/1/2022 21:30,,3.6,173.6,24.6
สถานีบ้านสร้าง,6/1/2022 22:00,,3.7,181.7,24.6
สถานีบ้านสร้าง,6/1/2022 22:30,,4.4,184.0,24.6
สถานีบ้านสร้าง,6/1/2022 23:00,,3.7,182.5,24.6
สถานีบ้านสร้าง,6/1/2022 23:30,,3.6,172.3,24.6
สถานีบ้านสร้าง,7/1/2022 0:00,,3.7,181.8,24.6
สถานีบ้านสร้าง,7/1/2022 0:30,,3.7,177.7,24.6
สถานีบ้านสร้าง,7/1/2022 1:00,,4.4,179.5,24.5
สถานีบ้านสร้าง,7/1/2022 1:30,,3.6,176.8,24.6
สถานีบ้านสร้าง,7/1/2022 2:00,,3.6,171.4,24.5
สถานีบ้านสร้าง,7/1/2022 2:30,,3.6,178.4,24.5
สถานีบ้านสร้าง,7/1/2022 3:00,,3.6,177.5,24.5
สถานีบ้านสร้าง,7/1/2022 3:30,,4.5,177.3,24.3
สถานีบ้านสร้าง,7/1/2022 4:00,,3.7,179.4,24.4
สถานีบ้านสร้าง,7/1/2022 4:30,,3.7,178.9,24.3
สถานีบ้านสร้าง,7/1/2022 5:00,,3.6,187.7,24.3
สถานีบ้านสร้าง,7/1/2022 5:30,,3.6,186.7,24.3
สถานีบ้านสร้าง,7/1/2022 6:00,,4.4,190.0,24.2
สถานีบ้านสร้าง,7/1/2022 6:30,,3.6,193.8,24.2
สถานีบ้านสร้าง,7/1/2022 7:00,,3.6,197.5,24.2
สถานีบ้านสร้าง,7/1/2022 7:30,,3.6,193.2,24.2
สถานีบ้านสร้าง,7/1/2022 8:00,,3.6,197.6,24.2
สถานีบ้านสร้าง,7/1/2022 8:30,,4.4,192.8,24.2
สถานีบ้านสร้าง,7/1/2022 9:00,,3.6,194.3,24.3
สถานีบ้านสร้าง,7/1/2022 9:30,,3.6,192.9,24.3
สถานีบ้านสร้าง,7/1/2022 10:00,,3.6,194.0,24.3
สถานีบ้านสร้าง,7/1/2022 10:30,,3.7,181.0,24.4
สถานีบ้านสร้าง,7/1/2022 11:00,,4.3,184.9,24.4
สถานีบ้านสร้าง,7/1/2022 11:30,,3.6,170.4,24.4
สถานีบ้านสร้าง,7/1/2022 12:00,,3.6,165.0,24.5
สถานีบ้านสร้าง,7/1/2022 12:30,,3.8,176.2,24.8
สถานีบ้านสร้าง,7/1/2022 13:00,,3.8,173.8,24.9
สถานีบ้านสร้าง,7/1/2022 13:30,,4.6,169.5,24.9
สถานีบ้านสร้าง,7/1/2022 14:00,,3.8,179.1,24.9
สถานีบ้านสร้าง,7/1/2022 14:30,,3.8,171.0,24.9
สถานีบ้านสร้าง,7/1/2022 15:00,,3.7,177.5,24.8
สถานีบ้านสร้าง,7/1/2022 15:30,,3.7,180.6,24.8
สถานีบ้านสร้าง,7/1/2022 16:00,,3.6,180.7,24.8
สถานีบ้านสร้าง,7/1/2022 16:30,,4.4,181.5,24.8
สถานีบ้านสร้าง,7/1/2022 17:00,,3.7,173.4,24.8
สถานีบ้านสร้าง,7/1/2022 17:30,,3.7,173.0,24.8
สถานีบ้านสร้าง,7/1/2022 18:00,,3.7,168.0,24.8
สถานีบ้านสร้าง,7/1/2022 18:30,,3.7,180.0,24.8
สถานีบ้านสร้าง,7/1/2022 19:00,,4.5,178.2,24.7
สถานีบ้านสร้าง,7/1/2022 19:30,,3.8,182.9,24.8
สถานีบ้านสร้าง,7/1/2022 20:00,,3.7,177.9,24.8
สถานีบ้านสร้าง,7/1/2022 20:30,,3.7,181.0,24.7
สถานีบ้านสร้าง,7/1/2022 21:00,,3.7,180.1,24.7
สถานีบ้านสร้าง,7/1/2022 21:30,,4.4,175.6,24.7
สถานีบ้านสร้าง,7/1/2022 22:00,,3.7,184.9,24.7
สถานีบ้านสร้าง,7/1/2022 22:30,,3.7,179.1,24.7
สถานีบ้านสร้าง,7/1/2022 23:00,,3.7,178.5,24.7
สถานีบ้านสร้าง,7/1/2022 23:30,,3.7,182.6,24.7
สถานีบ้านสร้าง,8/1/2022 0:00,,4.4,174.6,24.6
สถานีบ้านสร้าง,8/1/2022 0:30,,3.7,181.6,24.7
สถานีบ้านสร้าง,8/1/2022 1:00,,3.7,175.0,24.6
สถานีบ้านสร้าง,8/1/2022 1:30,,3.7,182.4,24.6
สถานีบ้านสร้าง,8/1/2022 2:00,,3.7,182.8,24.7
สถานีบ้านสร้าง,8/1/2022 2:30,,4.3,183.4,24.6
สถานีบ้านสร้าง,8/1/2022 3:00,,3.6,183.2,24.6
สถานีบ้านสร้าง,8/1/2022 3:30,,3.6,192.3,24.6
สถานีบ้านสร้าง,8/1/2022 4:00,,3.7,184.3,24.6
สถานีบ้านสร้าง,8/1/2022 4:30,,3.7,184.2,24.5
สถานีบ้านสร้าง,8/1/2022 5:00,,4.3,194.6,24.4
สถานีบ้านสร้าง,8/1/2022 5:30,,3.7,183.4,24.4
สถานีบ้านสร้าง,8/1/2022 6:00,,3.6,178.9,24.4
สถานีบ้านสร้าง,8/1/2022 6:30,,3.6,181.3,24.4
สถานีบ้านสร้าง,8/1/2022 7:00,,3.6,182.0,24.3
สถานีบ้านสร้าง,8/1/2022 7:30,,4.4,174.4,24.3
สถานีบ้านสร้าง,8/1/2022 8:00,,3.6,176.9,24.3
สถานีบ้านสร้าง,8/1/2022 8:30,,3.6,179.6,24.4
สถานีบ้านสร้าง,8/1/2022 9:00,,3.6,173.6,24.4
สถานีบ้านสร้าง,8/1/2022 9:30,,3.7,172.5,24.4
สถานีบ้านสร้าง,8/1/2022 10:00,,3.6,152.2,24.5
สถานีบ้านสร้าง,8/1/2022 10:30,,4.5,179.1,24.5
สถานีบ้านสร้าง,8/1/2022 11:00,,3.7,175.3,24.6
สถานีบ้านสร้าง,8/1/2022 11:30,,3.8,168.9,24.8
สถานีบ้านสร้าง,8/1/2022 12:00,,3.7,174.7,24.7
สถานีบ้านสร้าง,8/1/2022 12:30,,3.8,175.1,24.9
สถานีบ้านสร้าง,8/1/2022 13:00,,4.6,170.9,25.0
สถานีบ้านสร้าง,8/1/2022 13:30,,3.9,167.9,25.0
สถานีบ้านสร้าง,8/1/2022 14:00,,3.9,176.1,25.1
สถานีบ้านสร้าง,8/1/2022 14:30,,3.9,175.6,25.1
สถานีบ้านสร้าง,8/1/2022 15:00,,3.7,171.9,24.9
